Datetime,Tweet Id,RetweetCount,Likes,Replies,Text,language,Username,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
2019-10-22 14:56:42+00:00,1186657637343069952,0,0,0,My concern and grip about this advisory commission is that; theyâ€™re old and have no clue about state of technology in S. Africa; some of them are only active now on social media. How are they going to advice prez @CyrilRamaphosa when they advice is based on old library books,en,TIMNICEMOGOGOLE,,,,,,,,,,,,,,,,,
2019-10-11 16:46:01+00:00,1182698880158309888,0,0,1,.@SusanStigant: â€œContinued leadership and courage are critical to shepherd #Ethiopia through a fragile; complex transition and agreeing on a new social contract for the entire country. The Horn of Africa and world are watching w/ both hope and concern for Ethiopia's success.â€,en,USIP,,,,,,,,,,,,,,,,,
2019-10-11 11:30:06+00:00,1182619377427970048,4,7,0,"#Bigtobacco is always creating faÃ§ades of concern for health while marketing products that kill. Raising #tobaccotax is key to stop this social menace in #Africa #Nigeria. #notobacco._x000D_
@AfricaNoTobacco @cislacnigeria @CTC_AFRICA @TobaccoMonitor @FCTCofficial @TaxJusticeAfric https://t.co/0twU903Ygy",en,CedarsRefuge,,,,,,,,,,,,,,,,,
2019-10-09 11:27:06+00:00,1181893849272189952,9,19,0,I had a truly interesting exchange of view today with Luca @LJahierEU; #EESC European Economic and Social Committee's President; on security developments of EU concern; like #Africa;  #westernbalkans; on #EU-#NATO; and EU Defence initiatives as the #EPF; EU Peace Facility. https://t.co/sijmyYX7Xk,en,ChairmanEUMC,,,,,,,,,,,,,,,,,
2019-09-27 06:38:17+00:00,1177472510226390016,12,17,2,AFRICANS on Social Media have raised concern about Africa's Standing at the UN over almost Empty #UNGA2019 Hall when their Leaders took to the Podium to address #UNGA Assembly compared to a full Hall when USA President Donald Trump (first Photo) was addressing the same Assembly. https://t.co/B8v3R5UYeQ,en,HonourableMedia,,,,,,,,,,,,,,,,,
2019-09-11 16:49:24+00:00,1171828097840300032,0,0,0,Younger population counts in Africaâ€™s favour â€“ Moodyâ€™sÂ Â Citizen Moody's also pointed to a growing gulf in income inequality in the country â€“ a concern that could pose social volatility; compared to other emerging ... https://t.co/yKJICG62xK via @theafricamentor #business #africa https://t.co/VNzuObpQr3,en,TheAfricaMentor,,,,,,,,,,,,,,,,,
2019-09-11 16:18:46+00:00,1171820387350579968,3,9,0,Our outgoing regional representative for west Africa. Mme. Liz Ahua paid a farewell visit to Dr. Siga Jagne; @ecowas_cedeao commissioner; social affairs and gender. #UNHCR have enjoyed a productive collaboration on the protection of persons of concern in the ECOWAS sub-region. https://t.co/ALEAxJOEfw,en,unhcrnigeria,,,,,,,,,,,,,,,,,
2019-09-11 08:37:14+00:00,1171704238088620032,1,2,0,'What kind of South Africa do you want to live in' is the topic we are currently unpacking and participants are sharing their own understanding of social cohesion and matters that are of concern in their respective communities. #Ubuntu @KasMedia,en,DDPdemocracy,,,,,,,,,,,,,,,,,
2019-09-07 10:15:49+00:00,1170279497641440000,0,0,0,@BasskeysSA @Digbick52912333 @ObidikePaul @BathandwaMooi @AdvBarryRoux This situation in South Africa can be exacerbated by a lack of family stability. Again; of concern is that when social controls are undermined; it becomes harder to control crime. This is the major problem with South Africa. Nigerians are not responsible for the woes there.,en,d2xt2r,,,,,,,,,,,,,,,,,
2019-09-06 05:21:16+00:00,1169842981379000064,73,113,1,This situation in South Africa can be exacerbated by a lack of family stability. Again; of concern is that when social controls are undermined; it becomes harder to control crime. This is the major problem with South Africa. Nigerians are not responsible for the woes there.,en,savndaniel,,,,,,,,,,,,,,,,,
2019-09-05 08:00:00+00:00,1169520542526759936,0,0,0,"Featured: Thousands of social media users have been expressing their deep disdain and concern over the high profile murders of women and the violent crimes that continue to plague South Africa._x000D_
https://t.co/UVvmHSRBAj",en,benonicitytimes,,,,,,,,,,,,,,,,,
2019-09-04 08:36:57+00:00,1169167452707660032,0,1,2,"@Jumwalter @kennygee_70 @Twitter The sorrow of people that die in South Africa without your president reacting should be of more concern to you_x000D_
Your family can also be a victim._x000D_
For your information this vide is on other handles and on other social media._x000D_
_x000D_
Your pain is your pathetic Buhari",en,iAGB4REAL,,,,,,,,,,,,,,,,,
2019-09-02 10:09:30+00:00,1168465969590820096,1,1,1,"@ScholesBob @euronews A NASA map widely shared on social media shows that there are more fires in central Africa than in the #AmazonRainforest. One area of concern on the continent is Madagascar; an ecological hub._x000D_
_x000D_
#AmazonFires https://t.co/W82d9c5viQ",en,WitsGCI,,,,,,,,,,,,,,,,,
2019-08-26 09:46:44+00:00,1165923521899480064,2,7,0,S Africa expressed concern over number of reptile proposals coming from range countries; noting that Appendix listings alone are not enough protection and the role of social media platforms in exacerbating illegal trade in these species needs to be better addressed. #CITESCoP18,en,IISD_ENB,,,,,,,,,,,,,,,,,
2019-08-25 05:32:14+00:00,1165497089289329920,6,17,1,On July 12; 2018; the @achpr_cadhp expressed concern with growing trend of stringent regulation of the #Internet in East Africa. Instead of reforms; #Uganda is enforcing insult laws; social media tax; and following #Tanzania's repressive path. For more: https://t.co/jXN3BzpcB0 https://t.co/csVyCKE9GQ,en,chapterfourug,,,,,,,,,,,,,,,,,
2019-08-05 11:32:03+00:00,1158339884144379904,0,0,0,@Agu_Of_Africa @DONJAZZY @BBNaija @IndomieNigeria @InfinixNigeria @uchejombo I hate insulting someone on social media but don't force me because you won't like it....how is it your concern i am doing the video in the office;what if I break time. Pls drink your water and mind your business. I think you are on this table,en,IlounoEbere,,,,,,,,,,,,,,,,,
2019-07-16 09:18:35+00:00,1151058537885440000,0,1,0,"""Advanced"" stage of social development; people will have less time for others including relatives and even aged parents;show less interest in and concern for the welfare of others generally. at that stage it's argued;old people's home will begin to emerge in societies of Africa.",en,ApanEyram,,,,,,,,,,,,,,,,,
2019-07-12 18:12:57+00:00,1149743464814429952,0,0,1,"@SuzanneOlson44 @Eedwardsellis @bratNvet @reedmom54 @msmyrafaye @HopeLostNFound @bmax4christ @hammy413 @WintonCapPtnrs @EJM421 @odifass @1776_ben @AGerberBaby @NeonNettle @lynn_laj @ljoconnor @LXanflorp @scottrock1 @TommyRevolts @Lilac1982 @suzydymna @carlyjae9 @totalrehash @JessNB3 @sbc406 ""Why hasn't the #USA stopped slave trade in #Africa?_x000D_
_x000D_
Why haven't Africans stopped the slave trade in Africa?_x000D_
_x000D_
Our concern is with the type of slavery that existed here on USA soil. _x000D_
_x000D_
We are not social justice mules for other groups of people.",en,PJenkins1931,,,,,,,,,,,,,,,,,
2019-07-12 16:28:15+00:00,1149717115668220032,0,0,0,"""Online sports betting companies such as SportPesa have grown rapidly in the East African nation in recent years... However; that has sparked government concern about the social impact of betting."" #sportsbetting #gambling #africa #fantasysports _x000D_
_x000D_
https://t.co/HBrDeH37W6 https://t.co/9rj1lDMuGp",en,DirectPayNet,,,,,,,,,,,,,,,,,
2019-07-05 08:42:38+00:00,1147063222647900032,0,0,0,@mailandguardian I'd much rather imagine a South Africa where two young men from differing socio-economic backgrounds were asked to work together to address a pressing social concern; with the colour of their skin not even needing to be mentioned as a differentiating feature between them.,en,Lions_whiskers,,,,,,,,,,,,,,,,,
2019-07-05 08:19:02+00:00,1147057284985639936,0,0,0,@mailandguardian Imagine a South Africa where two young men _ one black and from a wealthy suburb; the other white and from a white township - are asked to work together to address a pressing social concern?,en,mix_upchick,,,,,,,,,,,,,,,,,
2019-07-05 08:15:09+00:00,1147056305586230016,1,2,3,"OPINION: Imagine a South Africa where two young men â€” one white and from a wealthy suburb; the other black and from a poor township â€” are asked to work together to address a pressing social concern. _x000D_
 https://t.co/WpYjfkyhHw",en,mailandguardian,,,,,,,,,,,,,,,,,
2019-06-15 12:47:19+00:00,1139877042068089984,0,8,2,"@Gidi_Traffic @eniola_opeyemi Biko is she the one in the right pinshure? Thought its home cloth not cloth for social media? Hope the husband is not cheating now_x000D_
_x000D_
A cheat is a cheat!! Why not concern yourself on things that will better your live or is it a bad thing to become the richest woman CEO in Africa?",en,Drmuzoic,,,,,,,,,,,,,,,,,
2019-06-14 19:44:06+00:00,1139619541619740032,0,0,0,"Top story: @SABC_2: 'This Sunday on @Fokusza at 18h00;_x000D_
_x000D_
Unemployment amongst young people in South Africa remains a great concern. But social media offers opportunities to people to promote their products or become inflâ€¦ https://t.co/gedZvPuYSa; see more https://t.co/ZFHcjUNZSo",en,imaginetsa,,,,,,,,,,,,,,,,,
2019-06-14 12:05:57+00:00,1139504245621900032,1,1,0,"This Sunday on @Fokusza at 18h00;_x000D_
_x000D_
Unemployment amongst young people in South Africa remains a great concern. But social media offers opportunities to people to promote their products or become influencers. Fokus talks to some of them. https://t.co/TMsooISCcz",en,SABC_2,,,,,,,,,,,,,,,,,
2019-05-27 10:36:00+00:00,1132958625398439936,4,8,0,The Actual number of pple affected by wide range of development inequalities remain a concern if the â€œAfrica we want will be realized by 2063. Need to address cultural; social &amp; economic challenges #ICPD25 @UNFPAKen https://t.co/4GLPNaO0dR,en,UNFPAKen,,,,,,,,,,,,,,,,,
2019-05-22 20:49:45+00:00,1131301141877350016,0,3,0,Africa doesnt need radical leaders anymore for most of them imperill for their personal interests and greed.All we need are leaders with great concern and real patriotism to formulate better productive political; economical; social and policies for national growth and development,en,InnocentYawanga,,,,,,,,,,,,,,,,,
2019-05-22 04:05:27+00:00,1131048400168850048,1,3,0,#AfricanLivesMatter If the most serious concern of citizens in Algeria; Angola; Ethiopia ; Ghana;Kenya;Liberia;  Nigeria; South Africa;  Zimbabwe ; Sudan ;etc is the Economy;  then ALL Leadership &amp; Organised social formations must focus on developing REAL Economic Alternatives,en,TamukaKagoro77,,,,,,,,,,,,,,,,,
2019-05-17 07:56:33+00:00,1129294622000320000,0,0,0,@chiomaobinagwam @DrJoeAbah @sirjaay @ChidiOdinkalu @renoomokri Social Security!Lol.maybe that can only happen in overseas; I do not think Africa leaders are even thinking in that direction;The leaders we've here are only concern about their interest;how to approve life pensions for themselves.The welfare of the masses is not in their budget.,en,mikedavidxson,,,,,,,,,,,,,,,,,
2019-05-13 14:22:41+00:00,1127942242252019968,0,2,1,"@MohmedAamin Dombisa Moyo; the author of 'Dead Aid' said; ""Africa don't need 5year term elections which are waste of resource&amp;time; Africa need benovelont dictators who address the basic social needs. A starving mother do not concern herself on who to elect rather than what to feed her child""",en,MohamdBile,,,,,,,,,,,,,,,,,
2019-05-09 14:43:19+00:00,1126497882377309952,1,0,0,"""Corruption undermines political; social; and economic development; which is a growing concern in fragile economies in parts of Africa."" - @Lola_Kanye https://t.co/VR9tZMsCv5 via @BizAfricaDaily",en,OmoGbajaBiamila,,,,,,,,,,,,,,,,,
2019-04-30 15:46:35+00:00,1123252315849459968,1,1,0,"We're aware; ""In the Western Hemisphere &amp; #Europe in particular; the salience of #migration as a political &amp; social concern has intensified""_x000D_
But how will #Africa achieve @GlobalGoalsUN while @EU_Commission are  #attracting its #highly skilled workforce? https://t.co/Oiaw3RgJ4H",en,african_crisis,,,,,,,,,,,,,,,,,
2019-04-23 19:19:40+00:00,1120769223951879936,0,0,1,Have you expressed concern about Internet disruptions in Africa; social media taxes; access of women and girls to ICTs; gender based online violence; hate speech; disinformation online and other topics? Please join the conversation at #DRIF19 @ParadigmHQ,en,brainadam_,,,,,,,,,,,,,,,,,
2019-04-23 04:19:35+00:00,1120542709519920000,2,6,0,"@seanmdav In South Africa people expressing concern about farm attacks/murders of (mostly) white farmers also have to contend even with threats of violent pushback from left leaning groups for being ""far right racists""._x000D_
It depends on the social acceptability of the victims it seem.",en,Cerned_Con,,,,,,,,,,,,,,,,,
2019-04-21 05:30:00+00:00,1119835654752390016,1,4,0,"Social media users in South Africa have expressed concern and amusement at the possibility of getting arrested this Easter for eating hot cross buns._x000D_
_x000D_
https://t.co/vyUmmL2AHS",en,news18dotcom,,,,,,,,,,,,,,,,,
2019-04-17 08:12:06+00:00,1118426896763699968,0,1,0,"It is only in Africa where being fat is a competitive advantage in many aspects with an assumption of a positive relationship with human social; political and economic capital._x000D_
Thinking deeper why fat people in Africa are assumed wealthier yet elsewhere its a health concern?",en,Okware_,,,,,,,,,,,,,,,,,
2019-04-05 15:27:27+00:00,1114187803439570048,0,1,1,Also worrying is Chinaâ€™s social credit system. Data governance is a major concern especially since China is keen to exporting these systems to South America and Africa. #AI #humanrightsAI https://t.co/VtdQHL2SeN,en,MIGSinstitute,,,,,,,,,,,,,,,,,
2019-03-31 14:37:26+00:00,1112363274937360000,0,0,0,"This is very little; our leaders are not taking enough action against South Africa._x000D_
_x000D_
Sunday 31st March 2019_x000D_
_x000D_
No Zambian has died from these recent xenophobic attacks._x000D_
_x000D_
We have noted with concern social media... https://t.co/4ViEYTraOa",en,MSiajunza,,,,,,,,,,,,,,,,,
2019-03-26 15:13:43+00:00,1110560467494329984,1,2,0,@paradox_mash @eNCA You people have your priorities screwed up. An article is published that alleges state capture through the son of a seating president and your immediate concern is which picture is posted on social media? South Africa is truly doomed to fail with active citizens such as yourself.,en,ThageKabelo,,,,,,,,,,,,,,,,,
2019-03-16 10:15:16+00:00,1106861483349190016,0,0,1,"Pastor Ade Omooba of Christian Concern | @CConcern receives MBE for ""...social action projects across the UK and Africa for over 30 years..."" and more: &gt;&gt; https://t.co/ZgRhrsJJa1 https://t.co/nTRDtWoYqC",en,AStepFWD,,,,,,,,,,,,,,,,,
2019-03-11 04:19:25+00:00,1104959992053090048,3,6,0,Catch @pewresearch's first in a series of survey reports on the social impact of #mobile tech in emerging economies -- from Latin America to Africa to Asia https://t.co/ApxuPyv8Fy. Mobile phones' effect on #Children is a top concern; along with identity theft &amp; #FakeNews . https://t.co/rYT6QKIdqW,en,james_e_bell,,,,,,,,,,,,,,,,,
2019-02-21 05:57:17+00:00,1098461636522840064,0,0,0,This week i have been seeing my friends in social media sharing the average age of South Africa's political leadership;After Zimbabwe's Mnangagwa came to power there was also concern about cabinet ministers... https://t.co/b1NATmKTbA,en,kabogarechaba,,,,,,,,,,,,,,,,,
2019-02-20 12:40:22+00:00,1098200689174550016,4,10,0,"""Care for the environment is always a social concern as well. Let us hear both the cry of the earth and the cry of the poor."" @Pontifex _x000D_
_x000D_
What motivates you to take care of the environment?_x000D_
#weneednature #LaudatoSi' https://t.co/A9J2tUkrvK https://t.co/sTuDxSLv8p",en,africa_ci,,,,,,,,,,,,,,,,,
2019-01-30 05:52:09+00:00,1090487811831200000,0,1,0,@Julius_S_Malema @Nkanyiso_ngqulu @ali_naka @ali_naka must invest much time into fixing the social ills and political upheaval in his native country of Zimbabwe and stop bothering us with issues that are of less concern to him here in South Africa.,en,owenmafukele,,,,,,,,,,,,,,,,,
2019-01-28 05:20:16+00:00,1089755014086579968,0,0,0,"""#capitalists of the West investing huge sums of #money in #Asia; #Africa; and #SouthAmerica; only to take the profits out with no concern for #social betterment of the #countries."" #MartinLutherKingJr #killyourtv #StandWithCovington #standup hate ur #GovernmentShutdown lol SMHðŸ–•",en,whiteshadoe1488,,,,,,,,,,,,,,,,,
2019-01-21 18:07:58+00:00,1087411498194850048,0,0,1,â€œWith righteous indignation; it will â€¦ see individual capitalists of the West investing huge sums of money in Asia; Africa and South America; only to take the profits out with no concern for the social betterment of the countries; and say: â€˜This is not just.â€™â€ #MLKday,en,DDelgadoVive,,,,,,,,,,,,,,,,,
2019-01-21 17:12:41+00:00,1087397584065510016,8,11,0,&gt;&gt; In foreign policy; King also offered an economic critique; complaining about â€œcapitalists of the West investing huge sums of money in Asia; Africa and South America; only to take the profits out with no concern for the social betterment of the countries.â€,en,ckwill36,,,,,,,,,,,,,,,,,
2019-01-21 17:10:00+00:00,1087396907738109952,20,39,1,"â€œwith righteous indignation; it will look across the seas &amp; see capitalists of the West investing huge sums of money in Asia; Africa and South America; only to take the profits out w/ no concern for the social betterment of the countries; &amp; say: ""This is not just.""â€ #MLKDay https://t.co/fp3hKSqoeT",en,BlackGuerrillas,,,,,,,,,,,,,,,,,
2019-01-21 15:03:09+00:00,1087364987100800000,0,0,0,With righteous indignation; it will look across the seas &amp; see individual capitalists of the West investing huge sums of money in Asia; Africa and South America; only to take the profits out with no concern for the social betterment of the countries; and say: 'This is not just.',en,trey_talks,,,,,,,,,,,,,,,,,
2019-01-20 13:32:32+00:00,1086979793118220032,5,7,1,With righteous indignation; it will look across the seas and see individual capitalists of the West investing huge sums of money in Asia; Africa; and South America; only to take the profits out with no concern for the social betterment of the countries; and say:,en,Brandi_Buchman,,,,,,,,,,,,,,,,,
2019-01-17 13:29:18+00:00,1085891817302770048,0,0,0,@ACHPR adopted a resolution on the right to freedom of information &amp; expression on the internet in Africa; which noted its concern over â€œthe emerging practice of State Parties of interrupting or limiting access to telecommunications services such as the Internet; &amp;social media ! https://t.co/6x5hPM7Sff,en,UnwantedWitness,,,,,,,,,,,,,,,,,
2019-01-15 06:21:18+00:00,1085059331815549952,14,19,0,Loneliness is stressful and carries the same health risk as smoking 15 cigarettes a day; not exercising or being an alcoholic or obese. As Africa's traditional families fragment and people are their own; loneliness becomes a social &amp; public health concern. https://t.co/8OkuKTEPpP https://t.co/FAXUhioltg,en,hallaboutafrica,,,,,,,,,,,,,,,,,
2019-01-03 15:14:20+00:00,1080844820233529984,3,3,0,The CGE has noted with concern social media recording and reports alleging sexist and patriarchal remarks attributed to the Methodist Church of South Africa and ANC Chaplain - General Reverend Dr. Vukile Mehana @CGEinfo @DepartmentWomen @GCISMedia,en,javubaloyi,,,,,,,,,,,,,,,,,
2019-12-30 13:38:41+00:00,1211642768109580032,0,0,0,@Thapi_T There's clearly a problem with journalism in South Africa! It is tactless and lacks a basic understanding of the social and economic challenges we face in SA. The entire study should be reviewed and something needs to be done! This is disgraceful to say the least!,en,TheGreatGumzy,,,,,,,,,,,,,,,,,
2019-12-29 04:52:29+00:00,1211147956520399872,0,0,1,@josephtshepiso1 @andilejali870 Problem we like this sensationalism is South Africa. It is wrong for player to post on social media about clubs activities that not even involved themselves. There's media team; club photographer in any team for that job. Club is bigger than any player. It's unprofessional,en,Maliqo,,,,,,,,,,,,,,,,,
2019-12-28 16:32:49+00:00,1210961812881050112,1,16,0,Africans on social media; 2019: Warm people; convinced their governments are cause of all problems; optimistic about Africa's future; blissfully indifferent to quality of online video-photo content; soccer; M-F relationships and politics are favourite topics.,en,TimKalyegira,,,,,,,,,,,,,,,,,
2019-12-28 08:00:09+00:00,1210832796215699968,0,0,0,"The country with the greatest display of hatred between the sexes is South Africa; judging by how ""men are trash"" and ""women are trash"" trends in social media. There's a deep-rooted fundamental problem between the sexes in South Africa; especially among black people.",en,Uncle_GP,,,,,,,,,,,,,,,,,
2019-12-27 14:42:03+00:00,1210571548114980096,7,12,0,"SAME SEX MARRIAGE?_x000D_
_x000D_
In Nigeria; despite our religious/cultural differences; we are united against Homosexuality and still maintain the right side of History. _x000D_
_x000D_
Tell your sponsors not in Africa let alone Nigeria. Our social problem is enough to deal with._x000D_
_x000D_
God Bless NigeriaðŸ’ª",en,KhalifaSpeaks,,,,,,,,,,,,,,,,,
2019-12-27 13:37:24+00:00,1210555278481060096,0,2,1,As Africa tunes into the burgeoning movement of business for good; young people across the continent are finding innovative solutions to problems from illiteracy to pollution. Check these 6 social startups! https://t.co/69a1zWfq2s #impactWomen @TRF,en,ogunte,,,,,,,,,,,,,,,,,
2019-12-27 10:37:39+00:00,1210510045764559872,0,1,0,"The alluring promise for #Tech #Startups in #Africa is the #Social and #Commercial upside that lies in providing scalable solutions and products to users on a continent thatâ€™s home to several significant problemsâ€”and market #Opportunities..._x000D_
https://t.co/w7EMd2S0HJ https://t.co/zYDPuRiSvE",en,abjel_Ltd,,,,,,,,,,,,,,,,,
2019-12-27 07:10:36+00:00,1210457938705489920,0,0,1,"@NekkaSmith hmm...i guess that's one angle._x000D_
Will you be willing to address it if Nigeria has tackled its economic problems?_x000D_
This is a current social issue that will; obviously; not go away._x000D_
Countries that have legalised it still have economic issues...even in Africa.",en,1blackpearl,,,,,,,,,,,,,,,,,
2019-12-26 13:36:58+00:00,1210192785359470080,7,54,1,"""I've been very impressed with Sam Curran. He rarely lets England down. He is the one who has caused the most problems all day."" @carbs646 _x000D_
_x000D_
South Africa 208/6_x000D_
_x000D_
Live text and the Cricket Social ðŸ‘‰ https://t.co/LaLx4c7LeD_x000D_
_x000D_
#bbccricket #SAvENG https://t.co/3T8rW2gqGU",en,bbctms,,,,,,,,,,,,,,,,,
2019-12-26 11:04:46+00:00,1210154479980549888,0,0,0,"DAKAR- As Africa tunes into the burgeoning movement of business for good; young people across the continent are finding innovative solutions to problems from illiteracy to pollution._x000D_
_x000D_
There are no figures for how many social enterprises have been started  https://t.co/qCKFqh8M3S https://t.co/tcM2hse59r",en,BritishHeraldUK,,,,,,,,,,,,,,,,,
2019-12-26 10:46:39+00:00,1210149920880999936,4,1,1,"""Population [growth] drives technological and social development not by creating opportunities; but by creating problems -- that we have to then fix."" h/t @eriktorenberg _x000D_
_x000D_
African leaders flaunting Africa's demographic growth need to internalize the above: catastrophe awaits.",en,valanchee,,,,,,,,,,,,,,,,,
2019-12-25 13:36:10+00:00,1209830193096979968,0,0,0,The alluring promise for tech startups in #Africa is the social and commercial upside that lies in providing scalable solutions and products to users on a continent thatâ€™s home to several significant problemsâ€”a... https://t.co/Jbon88Opuy via @theafricamentor #africabiz #business https://t.co/e2K2U3v2SA,en,TheAfricaMentor,,,,,,,,,,,,,,,,,
2019-12-24 15:43:17+00:00,1209499797301969920,0,0,0,As a social scientist the problem of alcoholism in South Africa has spread to school children some don't even attend class on Fridays and you find them at parks with amaCara Cara #Umphakathi,en,Phynx_apparel,,,,,,,,,,,,,,,,,
2019-12-23 10:39:34+00:00,1209060977498409984,0,0,1,@ellykha @Zwelinzima1 Countries with socialist work ethic; of looking to goverment for freebies are invariably poor and have endless social problems based mainly on the laziness and politics of entitlement of the general population....South Africa is heading that way...watch great hunger develop here,en,DougChigudu,,,,,,,,,,,,,,,,,
2019-12-22 20:41:47+00:00,1208850139756009984,0,0,1,@kzshabazz @tito_mboweni South Africa's problem is social makeup. Its not white ppl,en,Sam92935917,,,,,,,,,,,,,,,,,
2019-12-21 19:18:39+00:00,1208466831754840064,0,3,2,@Zar1na_Khan Even NGO. His analysis was insightful. Westerners wants do it efficient and best. Sadly they ignore cultural; social problem of natives. Eg feodal chief. They impose their views. Futhermore all this develop the meme of Africa begging. Burkina Faso mean the land of Worthy Mankind,en,karlabreu,,,,,,,,,,,,,,,,,
2019-12-20 15:45:33+00:00,1208050816088770048,0,2,0,@tito_mboweni I sincerely wish the new couple the very best; but their union can't be a general solution to economic and social problems that are faced by SA; and Africa at large; and Mr Mboweni; by virtue of his vantage position; should know this.,en,OtiliaVirimai,,,,,,,,,,,,,,,,,
2019-12-20 11:24:17+00:00,1207985064249890048,0,0,0,#AFRICA #STARTUP #ANALYSIS:The alluring promise for tech startups in Africa is social/commercial upside that lies in providing scalable solutions/products to users on  continent thatâ€™s home to several significant problemsâ€”and market opportunities.https://t.co/h2LSeq4tuH https://t.co/msCFooLLKe,en,moueller1961,,,,,,,,,,,,,,,,,
2019-12-19 17:22:55+00:00,1207712928478170112,0,1,0,The major sorce of political conflict &amp; potential revolution in many countries of Middle East &amp; in Africa is today; is the inability of so-called radical nationalist regimes &amp; movements to manage; let alone resolve; the social; economic and political problems of independance.,en,ZahidAliLaqani,,,,,,,,,,,,,,,,,
2019-12-19 13:01:00+00:00,1207647016131539968,3,8,0,"Sub-Saharan Africa will soon achieve majority urban status. The transition will bring social; political; and environmental problems ... as well as the potential to improve governance. _x000D_
_x000D_
@AmakaAnku and Tochi Eni-Kalu tell @ForeignAffairs how to get there. https://t.co/o1F90K7jqR",en,EurasiaGroup,,,,,,,,,,,,,,,,,
2019-12-19 09:04:12+00:00,1207587425943470080,0,0,1,@jared_okungu I am traveling across Africa solving development problems; that's where my name and respect comes from not on Twitter. You focus on wrong things. I am here for social interaction; nothing serious,en,HildaMuteshi,,,,,,,,,,,,,,,,,
2019-12-19 08:52:37+00:00,1207584508058500096,0,0,1,Successfully marriages in Africa;so I think that instead of criticize your men all over the social media;I believe that the African American women and men need to find solutions to there problems; I have not been to America before but I think the African,en,idowujamiu2341,,,,,,,,,,,,,,,,,
